'freguesia','bairro','tipologia','renda','nrelementos'
'Campanhã','Ilhéu','3','[240 - 260[','4'
'Campanhã','Lagarteiro','2','[40 - 60[','3'
'Ramalde','Ramalde','2','[20 - 40[','1'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Campanhã','Lagarteiro','3',' < 20 ','1'
'Ramalde','Viso','2','[60 - 80[','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','4'
'Campanhã','Ilhéu','3','[20 - 40[','2'
'Campanhã','Ilhéu','3','[20 - 40[','3'
'Paranhos','Regado','2','[60 - 80[','2'
'Ramalde','Campinas','3','[80 - 100[','3'
'Ramalde','Campinas','<= 1','[20 - 40[','1'
'Ramalde','Viso','2','[40 - 60[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','2','[60 - 80[','3'
'Ramalde','Viso','3','[220 - 240[','2'
'Paranhos','Agra do Amial','<= 1','[20 - 40[','1'
'Ramalde','Campinas','4','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','3'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Campinas','4','[80 - 100[','4'
'Ramalde','Campinas','4','[80 - 100[','4'
'Paranhos','Regado','4','[80 - 100[','3'
'Ramalde','Campinas','4','[80 - 100[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'Ramalde','Campinas','3','[80 - 100[','2'
'Campanhã','Eng. Machado Vaz','3','[40 - 60[','1'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Campinas','2','[20 - 40[','1'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Campinas','3','[80 - 100[','1'
'Ramalde','Campinas','3','[80 - 100[','4'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','2'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Francos','4','[80 - 100[','1'
'Ramalde','Francos','2','[60 - 80[','1'
'Ramalde','Francos','3','[80 - 100[','1'
'Ramalde','Francos','3','[80 - 100[','2'
'Ramalde','Francos','3','[80 - 100[','3'
'Ramalde','Francos','3','[80 - 100[','2'
'Ramalde','Francos','2','[60 - 80[','2'
'Ramalde','Francos','3','[80 - 100[','2'
'Ramalde','Francos','2','[60 - 80[','3'
'Paranhos','Regado','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','2','[40 - 60[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','2'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','1'
'Ramalde','Central de Francos','<= 1','[60 - 80[','1'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','3'
'Paranhos','Regado','<= 1','[20 - 40[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
